No.,tf_torch,torch_mnn,tf_mnn,tf_time,torch_time,mnn_time
16071,0.0,1.4267951e-07,1.4267951e-07,3.7908551692962646,9.369850158691406e-05,3.981590270996094e-05
16072,0.0,1.1892549e-05,1.1892549e-05,3.7188992500305176,9.107589721679688e-05,3.790855407714844e-05
16073,2.709068e-08,9.734369e-06,9.761459e-06,3.614901542663574,9.560585021972656e-05,4.1484832763671875e-05
16074,0.0,5.242726e-06,5.242726e-06,4.196691274642944,9.202957153320312e-05,3.5762786865234375e-05
16075,3.4457976e-08,7.7536214e-07,8.098201e-07,2.989135980606079,9.274482727050781e-05,3.910064697265625e-05
16076,0.0,1.9896068e-07,1.9896068e-07,4.062909126281738,9.250640869140625e-05,3.0279159545898438e-05
16077,2.9046129e-08,8.905576e-06,8.934621e-06,3.9509520530700684,9.417533874511719e-05,3.933906555175781e-05
16078,0.0,1.8780963e-07,1.8780963e-07,3.8229072093963623,0.00010180473327636719,4.458427429199219e-05
16079,0.0,2.4041716e-05,2.4041716e-05,3.838815212249756,9.72747802734375e-05,4.1484832763671875e-05
16080,0.0,8.283714e-06,8.283714e-06,3.794785499572754,0.0001010894775390625,3.719329833984375e-05
16081,0.0,1.1231281e-05,1.1231281e-05,3.8829686641693115,9.369850158691406e-05,3.910064697265625e-05
16082,0.0,7.7002696e-08,7.7002696e-08,3.8869142532348633,9.489059448242188e-05,3.981590270996094e-05
16083,0.0,1.9884166e-05,1.9884166e-05,4.110859155654907,9.036064147949219e-05,3.886222839355469e-05
16084,0.0,1.6502909e-05,1.6502909e-05,4.0549232959747314,9.202957153320312e-05,4.076957702636719e-05
16085,0.0,9.514618e-06,9.514618e-06,3.9299983978271484,9.679794311523438e-05,3.743171691894531e-05
16086,0.0,3.0763101e-06,3.0763101e-06,4.013285398483276,9.012222290039062e-05,3.457069396972656e-05
16087,0.0,3.989876e-06,3.989876e-06,3.801459312438965,9.72747802734375e-05,4.076957702636719e-05
16088,0.0,1.6924064e-06,1.6924064e-06,3.954848527908325,9.34600830078125e-05,3.838539123535156e-05
16089,0.0,1.4115231e-05,1.4115231e-05,3.812255859375,8.916854858398438e-05,3.409385681152344e-05
