No.,tf_torch,torch_mnn,tf_mnn,tf_time,torch_time,mnn_time
0,4.4058822e-08,6.024516e-09,5.008334e-08,0.05313849449157715,0.0020110607147216797,6.628036499023438e-05
1,1.5979833e-08,3.0320102e-10,2.418968e-08,0.0011565685272216797,7.176399230957031e-05,2.3126602172851562e-05
2,3.516238e-08,0.0,3.516238e-08,0.0011932849884033203,8.416175842285156e-05,3.314018249511719e-05
3,7.800313e-08,3.8959115e-08,7.336003e-08,0.0012698173522949219,8.106231689453125e-05,3.123283386230469e-05
4,8.605767e-08,1.4055033e-09,5.0597983e-08,0.002571582794189453,8.726119995117188e-05,3.528594970703125e-05
5,1.8253342e-08,1.1528634e-08,2.9781978e-08,0.011065959930419922,9.489059448242188e-05,3.600120544433594e-05
6,3.79747e-08,1.7475147e-08,2.0499552e-08,0.010979175567626953,9.965896606445312e-05,3.886222839355469e-05
7,2.0347189e-08,4.6390177e-08,7.2414377e-09,0.0015568733215332031,8.487701416015625e-05,3.1948089599609375e-05
8,6.8902377e-09,2.6807852e-08,7.249615e-08,0.0015375614166259766,8.225440979003906e-05,3.123283386230469e-05
9,9.9117074e-08,6.5424736e-08,7.190326e-08,0.01793646812438965,0.00010561943054199219,3.719329833984375e-05
10,3.2490554e-08,1.1301326e-08,2.5639293e-08,0.0016798973083496094,7.82012939453125e-05,3.218650817871094e-05
11,1.1673798e-08,3.6896715e-08,1.1673794e-08,0.0016429424285888672,8.130073547363281e-05,3.123283386230469e-05
12,3.3130583e-08,6.566745e-08,6.358093e-08,0.009826898574829102,0.00010204315185546875,4.029273986816406e-05
13,2.7959699e-08,4.3685063e-08,1.4311425e-08,0.0032579898834228516,0.00010085105895996094,3.7670135498046875e-05
14,0.0,4.0287965e-08,4.0287965e-08,0.01061391830444336,0.00011944770812988281,4.792213439941406e-05
15,4.0665068e-08,3.5910872e-08,5.3618834e-09,0.010885953903198242,9.393692016601562e-05,3.528594970703125e-05
16,9.728777e-08,5.3843095e-08,4.3444675e-08,0.010994672775268555,9.560585021972656e-05,3.695487976074219e-05
17,6.054797e-08,6.049208e-08,7.315116e-08,0.0020210742950439453,8.749961853027344e-05,3.2901763916015625e-05
18,4.3909626e-08,5.2720477e-09,1.39046765e-08,0.0020029544830322266,8.177757263183594e-05,3.123283386230469e-05
19,1.5347993e-08,9.540518e-09,3.843248e-08,0.010365962982177734,9.584426879882812e-05,3.719329833984375e-05
20,3.3472958e-09,2.4184649e-08,2.7531945e-08,0.0021224021911621094,7.653236389160156e-05,3.147125244140625e-05
21,6.1961394e-08,1.9378787e-08,4.2582606e-08,0.002084493637084961,7.390975952148438e-05,3.075599670410156e-05
