No.,tf_torch,torch_mnn,tf_mnn,tf_time,torch_time,mnn_time
30663,0.0,3.4824532e-07,3.4824532e-07,5.342834234237671,0.00020265579223632812,5.0067901611328125e-05
30664,0.0,1.4253068e-05,1.4253068e-05,4.882740259170532,0.00017118453979492188,4.506111145019531e-05
30665,0.0,7.1753493e-06,7.1753493e-06,5.3908562660217285,0.0001735687255859375,4.553794860839844e-05
30666,0.0,4.5396446e-05,4.5396446e-05,5.054864168167114,0.00018262863159179688,4.744529724121094e-05
30667,0.0,3.249431e-06,3.249431e-06,4.7982871532440186,0.00014543533325195312,4.2438507080078125e-05
30668,0.0,2.2504909e-07,2.2504909e-07,4.3873374462127686,0.00018644332885742188,4.7206878662109375e-05
30669,0.0,4.0353914e-08,4.0353914e-08,4.738833904266357,0.00018334388732910156,4.6253204345703125e-05
30670,0.0,0.0,0.0,4.722804307937622,0.00020003318786621094,4.792213439941406e-05
30671,0.0,9.4779523e-07,9.4779523e-07,4.902790546417236,0.00017523765563964844,4.363059997558594e-05
30672,0.0,3.779018e-05,3.779018e-05,4.897938013076782,0.00015592575073242188,4.506111145019531e-05
30673,0.0,1.8109961e-07,1.8109961e-07,4.679785251617432,0.0001819133758544922,4.5299530029296875e-05
30674,0.0,8.6938945e-07,8.6938945e-07,5.334867477416992,0.00016927719116210938,4.482269287109375e-05
30675,0.0,2.299366e-08,2.299366e-08,4.574854135513306,0.00016427040100097656,4.315376281738281e-05
30676,0.0,1.9215491e-05,1.9215491e-05,5.043799877166748,0.00015616416931152344,4.506111145019531e-05
30677,0.0,0.0,0.0,4.959007263183594,0.00015497207641601562,4.3392181396484375e-05
30678,0.0,1.8613781e-06,1.8613781e-06,4.5464928150177,0.0001456737518310547,4.124641418457031e-05
30679,0.0,1.7467775e-07,1.7467775e-07,4.905415296554565,0.0001652240753173828,4.696846008300781e-05
30680,0.0,1.2074483e-07,1.2074483e-07,5.417150020599365,0.00015497207641601562,4.172325134277344e-05
30681,0.0,3.0154283e-06,3.0154283e-06,5.113276720046997,0.0001811981201171875,4.57763671875e-05
30682,0.0,5.280345e-06,5.280345e-06,5.334850072860718,0.00017833709716796875,4.57763671875e-05
30683,0.0,1.0146663e-05,1.0146663e-05,4.526811122894287,0.00018334388732910156,4.5299530029296875e-05
30684,0.0,5.7649595e-07,5.7649595e-07,4.954838275909424,0.00019931793212890625,4.7206878662109375e-05
30685,0.0,2.476114e-07,2.476114e-07,4.494814157485962,0.00018906593322753906,4.673004150390625e-05
30686,0.0,4.36407e-05,4.36407e-05,5.411569356918335,0.00016379356384277344,4.363059997558594e-05
30687,0.0,2.5991969e-05,2.5991969e-05,4.986166954040527,0.0001964569091796875,4.744529724121094e-05
30688,0.0,6.045317e-06,6.045317e-06,5.142711877822876,0.00018167495727539062,4.696846008300781e-05
30689,0.0,0.0,0.0,4.685447692871094,0.0001380443572998047,4.1484832763671875e-05
30690,0.0,5.535135e-06,5.535135e-06,4.801886320114136,0.0001595020294189453,4.4345855712890625e-05
30691,0.0,2.1277526e-08,2.1277526e-08,5.106294393539429,0.00014901161193847656,4.3392181396484375e-05
30692,0.0,3.3710244e-06,3.3710244e-06,4.981924295425415,0.00018095970153808594,4.6253204345703125e-05
30693,0.0,3.5781676e-07,3.5781676e-07,4.894832134246826,0.00016832351684570312,5.1021575927734375e-05
30694,0.0,4.314593e-05,4.314593e-05,4.5308637619018555,0.0001659393310546875,4.458427429199219e-05
30695,0.0,1.901552e-08,1.901552e-08,5.258880138397217,0.00017547607421875,4.5299530029296875e-05
30696,0.0,2.2439637e-05,2.2439637e-05,5.238813400268555,0.00018095970153808594,4.458427429199219e-05
30697,0.0,1.6468501e-08,1.6468501e-08,4.870863437652588,0.0001811981201171875,4.506111145019531e-05
30698,0.0,7.612879e-06,7.612879e-06,4.98685359954834,0.0001766681671142578,4.4345855712890625e-05
30699,0.0,0.00010657512,0.00010657512,4.841167211532593,0.00016069412231445312,4.4345855712890625e-05
30700,0.0,4.068127e-06,4.068127e-06,5.365412473678589,0.000156402587890625,4.4345855712890625e-05
30701,0.0,0.00013015192,0.00013015192,5.262022018432617,0.00019121170043945312,4.553794860839844e-05
30702,0.0,3.4274573e-05,3.4274573e-05,4.906663656234741,0.0001659393310546875,4.601478576660156e-05
30703,0.0,4.9239417e-05,4.9239417e-05,4.655890226364136,0.0001475811004638672,4.363059997558594e-05
30704,0.0,3.5865254e-05,3.5865254e-05,4.530008316040039,0.00018167495727539062,4.744529724121094e-05
30705,0.0,1.211884e-05,1.211884e-05,5.034836530685425,0.00017881393432617188,4.458427429199219e-05
30706,0.0,3.1539217e-05,3.1539217e-05,4.954875469207764,0.00018930435180664062,4.4345855712890625e-05
30707,0.0,5.116317e-06,5.116317e-06,5.101447820663452,0.00014972686767578125,4.1961669921875e-05
30708,0.0,5.0329305e-05,5.0329305e-05,5.100326299667358,0.00018262863159179688,4.553794860839844e-05
30709,0.0,4.0649968e-05,4.0649968e-05,4.966782093048096,0.00017595291137695312,4.410743713378906e-05
30710,0.0,7.5730272e-06,7.5730272e-06,4.446878910064697,0.0001766681671142578,4.601478576660156e-05
30711,0.0,7.873456e-06,7.873456e-06,5.270881414413452,0.00018715858459472656,4.3392181396484375e-05
30712,0.0,3.2097076e-05,3.2097076e-05,5.470874309539795,0.00019884109497070312,4.57763671875e-05
30713,0.0,4.5684177e-05,4.5684177e-05,4.8968024253845215,0.0001652240753173828,4.3392181396484375e-05
30714,1.6341362e-08,1.7358903e-07,1.5724767e-07,5.016765832901001,0.000152587890625,4.220008850097656e-05
30715,0.0,1.3809865e-06,1.3809865e-06,4.851180076599121,0.0001747608184814453,4.3392181396484375e-05
30716,0.0,9.301495e-07,9.301495e-07,4.910722732543945,0.0001804828643798828,4.553794860839844e-05
30717,0.0,7.168978e-05,7.168978e-05,5.075248956680298,0.0001666545867919922,4.8160552978515625e-05
30718,0.0,1.9972058e-05,1.9972058e-05,4.750144720077515,0.00017547607421875,4.482269287109375e-05
30719,0.0,8.085897e-06,8.085897e-06,5.103026390075684,0.0001785755157470703,4.5299530029296875e-05
30720,0.0,1.0058802e-06,1.0058802e-06,4.629945278167725,0.0001678466796875,4.9114227294921875e-05
30721,0.0,9.4107934e-05,9.4107934e-05,4.571686267852783,0.00018453598022460938,4.57763671875e-05
