No.,tf_torch,torch_mnn,tf_mnn,torch_time,tf_time,mnn_time
79,3.92E-08,2.7390616,2.7390616,0.000208855,0.031718254,4.77E-05
80,7.87E-08,0.30269906,0.3026991,0.000191212,0.020176172,5.01E-05
81,5.20E-08,7.8895197,7.889521,0.000187159,0.036281347,5.44E-05
82,5.74E-08,0.80077887,0.800779,0.000182152,0.023803234,4.94E-05
83,1.10E-08,0.11985612,0.11985603,0.000183582,0.024003267,5.22E-05
84,3.37E-08,0.29092053,0.29092047,0.000208139,0.024324417,4.84E-05
85,6.55E-08,0.44196483,0.44196478,0.000181437,0.024254084,5.03E-05
86,8.01E-09,5.026836,5.026836,0.000220776,0.01297307,4.91E-05
87,6.76E-08,0.61441547,0.6144154,0.000180006,0.012254715,4.82E-05
88,3.90E-09,0.3414315,0.34143156,0.00018096,0.01264739,4.74E-05
89,1.94E-08,1.6192205,1.6192205,0.000182629,0.012965441,4.89E-05
90,9.53E-08,0.001958715,0.001958675,0.000180721,0.012456179,4.70E-05
91,4.10E-08,2.878104,2.878104,0.00018692,0.012939453,4.77E-05
92,3.66E-08,4.968796,4.968795,0.000184536,0.013383865,5.13E-05
93,1.78E-08,0.52710605,0.527106,0.000185013,0.013605833,4.98E-05
94,4.22E-07,0.099641494,0.099641524,0.000183821,0.013418436,4.96E-05
95,6.89E-08,35.110626,35.110626,0.000182867,0.013269186,4.82E-05
96,1.01E-07,1.4077421,1.4077424,0.000184298,0.013427973,4.96E-05
97,1.22E-08,1.639596,1.6395961,0.00019145,0.013690472,4.94E-05
98,6.62E-08,0.15558231,0.15558232,0.000206947,0.014096022,5.08E-05
99,3.96E-08,0.29361475,0.29361475,0.000189781,0.014278889,5.27E-05
100,2.54E-08,2.5462203,2.54622,0.000182629,0.01385808,4.89E-05
101,2.64E-08,5.8086715,5.808672,0.000189304,0.022272348,5.03E-05
102,1.17E-08,1.2538569,1.2538569,0.000184774,0.035958052,5.03E-05
103,1.22E-08,0.6500732,0.6500732,0.000177145,0.027682781,4.84E-05
104,4.42E-08,0.1800644,0.18006442,0.000184536,0.034514189,4.72E-05
105,4.49E-10,0.63025343,0.63025355,0.000179768,0.022260189,4.79E-05
106,2.16E-07,1.140585,1.1405848,0.000176668,0.014305115,4.58E-05
107,4.85E-08,0.6936346,0.69363475,0.00017643,0.014396667,4.65E-05
108,9.98E-09,3.0477571,3.0477571,0.000176907,0.01480484,4.70E-05
109,3.79E-08,1.8816441,1.8816439,0.000175714,0.014601469,4.91E-05
110,9.08E-09,2.209525,2.209525,0.000174761,0.015136003,4.74E-05
111,8.00E-08,0.11870776,0.11870766,0.000176191,0.015438795,4.72E-05
112,5.87E-08,8.699317,8.699317,0.000178814,0.014938831,4.70E-05
113,1.06E-08,2.7614543,2.7614543,0.000179529,0.015636206,4.94E-05
114,3.93E-08,0.64204574,0.64204574,0.000175953,0.015325308,4.55E-05
115,2.58E-08,0.36628485,0.3662847,0.000177383,0.015356541,4.67E-05
116,7.51E-08,138.71803,138.71802,0.000177622,0.015630722,4.82E-05
117,5.06E-08,3.6410282,3.6410282,0.000183344,0.016123056,4.84E-05
118,2.85E-05,3.0845716,3.0845716,0.000182867,0.016465902,4.84E-05
119,8.74E-08,0.118119,0.11811899,0.000188828,0.039577007,4.89E-05
120,3.64E-08,0.081664674,0.081664585,0.000185728,0.032860518,5.10E-05
121,8.49E-08,3.2035875,3.2035875,0.000186443,0.041137457,4.84E-05
122,2.78E-09,0.14516611,0.14516616,0.000201941,0.047833681,5.05E-05
123,2.62E-08,0.4516183,0.45161825,0.000190973,0.06877923,5.17E-05
124,8.54E-08,2.199367,2.1993666,0.00019455,0.049053669,4.98E-05
125,2.24E-08,0.016368277,0.016368337,0.00018096,0.041944265,5.13E-05
126,4.41E-09,1.2029057,1.2029057,0.000184774,0.041086435,4.89E-05
127,3.71E-07,1.7452393,1.745239,0.000180244,0.028973579,4.84E-05
128,1.79E-07,1.3118635,1.3118635,0.000180006,0.037137508,4.79E-05
129,5.24E-07,0.017127939,0.017128123,0.000185966,0.040842533,4.79E-05
130,2.45E-08,0.075064264,0.075064234,0.000187874,0.043644667,4.91E-05
131,3.49E-09,1.231338,1.231338,0.000183821,0.038204193,4.91E-05
132,1.98E-07,0.08822518,0.08822518,0.000179291,0.041000366,4.98E-05
133,8.36E-09,0.08339119,0.083391376,0.000181198,0.029037237,4.82E-05
134,5.31E-08,4.987892,4.987892,0.000181198,0.040901661,5.10E-05
135,2.26E-07,0.19064063,0.19064061,0.000185966,0.04103303,4.82E-05
136,1.99E-08,0.93398243,0.9339826,0.00018096,0.056880713,4.89E-05
137,2.20E-07,0.60536623,0.60536623,0.000183105,0.030433178,4.84E-05
138,4.25E-08,7.049786,7.0497866,0.000180483,0.04360342,4.82E-05
139,1.22E-08,0.34032112,0.340321,0.00019002,0.051635981,4.84E-05
140,2.09E-08,2.9197786,2.9197786,0.000188351,0.040771008,4.91E-05
141,7.40E-09,1.6723571,1.6723571,0.000184774,0.040873528,4.82E-05
142,4.98E-08,3.0542827,3.0542831,0.000190258,0.036888599,4.89E-05
143,1.79E-08,24.519403,24.519403,0.000186682,0.042138338,4.77E-05
144,7.24E-08,0.5677614,0.5677614,0.000183344,0.045492887,5.08E-05
145,1.29E-08,0.22002622,0.22002627,0.000175953,0.050446749,5.08E-05
146,9.52E-08,0.780133,0.780133,0.000180244,0.078223944,4.91E-05
147,1.72E-07,0.30234516,0.30234507,0.000182152,0.040915012,4.86E-05
148,2.32E-07,0.9463145,0.9463145,0.000185251,0.044812679,4.86E-05
149,1.09E-06,0.39132088,0.39132097,0.000186443,0.045026779,5.01E-05
150,1.21E-08,1.055585,1.0555849,0.000195265,0.048889399,5.25E-05
151,1.99E-08,1.3555413,1.3555412,0.000184774,0.050065279,5.20E-05
152,3.03E-08,1.7851617,1.7851617,0.00018692,0.042810678,5.03E-05
153,2.89E-08,1.976835,1.9768355,0.000195265,0.05277276,5.13E-05
154,8.57E-09,4.0498867,4.0498867,0.000184536,0.057485104,5.22E-05
155,7.16E-08,1.3096219,1.3096218,0.000190496,0.047715425,5.08E-05
156,2.38E-07,0.32360542,0.3236053,0.000185013,0.045909166,5.08E-05
157,2.81E-08,0.61121744,0.6112174,0.000183344,0.043209553,5.15E-05
158,8.12E-08,1.9106214,1.9106216,0.000186682,0.055130959,5.17E-05
159,4.12E-08,1.0898062,1.0898063,0.000179529,0.020894766,4.79E-05
160,3.79E-07,6.0343523,6.034352,0.000185966,0.022071362,5.10E-05
161,6.36E-08,6.5469704,6.54697,0.000180006,0.021835327,5.13E-05
162,4.22E-08,0.6535784,0.6535783,0.000195742,0.021907806,4.86E-05
163,3.96E-10,8.004879,8.00488,0.000185728,0.022851467,4.86E-05
164,6.23E-07,1.2175634,1.2175633,0.000182867,0.034870148,4.91E-05
165,5.50E-08,3.4188452,3.4188452,0.000175714,0.046201468,4.67E-05
166,5.73E-08,6.8011355,6.8011355,0.000188828,0.046570063,4.84E-05
167,7.13E-08,1.0674398,1.0674399,0.000174522,0.058212757,5.01E-05
168,4.39E-08,0.36925936,0.36925936,0.000186443,0.042523861,4.74E-05
169,1.23E-09,0.06455994,0.064559884,0.000186443,0.054915667,4.82E-05
170,7.95E-07,0.004265467,0.004265362,0.000181675,0.047111034,5.05E-05
171,1.01E-07,1.9656266,1.9656266,0.000179291,0.035448551,4.79E-05
172,2.43E-08,4.781267,4.781267,0.000183582,0.044101238,4.96E-05
173,2.10E-07,49.473278,49.473278,0.000174284,0.043357611,4.89E-05
174,1.08E-08,0.8281568,0.8281568,0.000174046,0.034857988,4.79E-05
175,4.95E-07,1.0995802,1.0995802,0.000181913,0.047716141,4.74E-05
176,3.76E-08,0.85708916,0.85708904,0.000177622,0.047871828,4.82E-05
177,6.06E-08,0.42704004,0.42704022,0.000174284,0.052555799,4.82E-05
178,3.01E-09,0.28100288,0.28100294,0.000174999,0.052670002,4.72E-05
179,2.68E-09,0.23571007,0.23571011,0.00018549,0.055243492,4.65E-05
180,6.44E-08,0.91157174,0.9115719,0.00017643,0.04605031,4.94E-05
181,4.07E-08,0.16879638,0.16879654,0.000181675,0.055093765,4.82E-05
182,6.69E-08,0.36943606,0.36943603,0.000175476,0.048119307,4.84E-05
183,7.94E-09,0.9127584,0.9127584,0.000174046,0.048294306,4.74E-05
184,1.50E-07,63.404907,63.404922,0.000178576,0.050931692,4.72E-05
185,7.98E-08,1.5828813,1.5828815,0.000178099,0.048478603,5.03E-05
186,1.20E-07,1.1127955,1.1127951,0.000184059,0.060733318,4.72E-05
187,2.55E-08,0.40859294,0.40859294,0.000187874,0.049269915,4.86E-05
188,9.15E-08,2.7279167,2.7279167,0.000174284,0.055230379,4.91E-05
189,3.92E-08,0.3448258,0.34482569,0.000174284,0.048723459,4.46E-05
190,4.31E-08,1.1608124,1.1608124,0.000178099,0.06035614,4.67E-05
191,1.53E-08,0.40628302,0.406283,0.000177622,0.037654638,4.82E-05
192,3.98E-08,2.7489924,2.748993,0.000185251,0.061558962,5.20E-05
193,1.40E-07,0.16360077,0.16360073,0.000187874,0.048363686,4.86E-05
194,1.09E-07,0.8696303,0.8696303,0.000178576,0.05050087,4.91E-05
195,6.17E-08,4.6621494,4.662148,0.000179291,0.050057411,4.86E-05
196,8.15E-08,0.12715667,0.12715673,0.000182867,0.051224947,5.08E-05
197,6.12E-09,0.14103682,0.14103672,0.000195265,0.059208155,4.98E-05
198,7.89E-09,0.71811205,0.71811193,0.000180483,0.059974432,4.96E-05
199,2.08E-08,1.9486212,1.9486212,0.000191212,0.062662363,4.96E-05
200,2.67E-08,0.65618324,0.6561833,0.000178814,0.051000834,4.74E-05
201,1.58E-08,1.927121,1.9271208,0.000183821,0.063158035,4.86E-05
202,2.13E-07,0.960612,0.96061206,0.000180721,0.051683187,5.08E-05
203,1.59E-07,0.27935746,0.27935755,0.000177622,0.063814163,4.65E-05
204,2.59E-08,0.32227492,0.3222749,0.000184774,0.063434601,4.79E-05
205,4.20E-08,17.37852,17.37852,0.000177383,0.051311255,4.84E-05
206,2.52E-08,1.0676126,1.0676128,0.000178814,0.035151243,4.72E-05
207,7.33E-08,0.36827248,0.36827242,0.000188589,0.027822971,4.77E-05
208,4.26E-07,1.358668,1.3586681,0.000178099,0.028816462,5.05E-05
209,2.41E-07,0.75386703,0.7538672,0.000178814,0.027509689,4.77E-05
210,8.50E-08,1.7548536,1.7548529,0.000180006,0.032363415,4.79E-05
211,1.14E-07,0.7939948,0.7939948,0.000176907,0.060308218,4.79E-05
212,3.27E-07,1.4438368,1.4438368,0.0001719,0.061123371,5.10E-05
213,5.51E-09,0.32582358,0.32582358,0.000192881,0.063665152,4.70E-05
214,1.40E-08,1.0062718,1.006272,0.00024128,0.041663647,5.08E-05
215,6.39E-08,1.2734132,1.2734133,0.00017643,0.02921629,5.05E-05
216,5.07E-07,0.9560906,0.9560907,0.000179291,0.028386831,4.70E-05
217,1.56E-07,0.62556577,0.62556577,0.000184536,0.028913021,4.91E-05
218,5.79E-08,0.018930435,0.018930355,0.000176907,0.029333591,4.77E-05
219,4.51E-09,1.9025953,1.9025955,0.000179291,0.066216707,4.91E-05
220,7.11E-09,0.06204266,0.06204266,0.000216484,0.064328432,4.89E-05
221,1.15E-08,1.370667,1.3706677,0.000176668,0.063383818,4.98E-05
222,5.74E-09,1.200307,1.2003068,0.00018096,0.068356514,4.82E-05
223,5.88E-10,0.016563786,0.016564157,0.000184059,0.060046673,5.05E-05
224,2.39E-08,12.135364,12.135363,0.000179529,0.066538095,4.86E-05
225,8.58E-08,0.8631811,0.8631811,0.000178814,0.065492153,4.98E-05
226,3.79E-07,2.1810858,2.1810858,0.00018549,0.067963362,4.89E-05
227,2.11E-08,0.06288764,0.06288765,0.000180006,0.063735008,5.08E-05
228,1.34E-08,1.1543168,1.1543168,0.000175238,0.063956261,4.94E-05
229,2.67E-07,0.07216207,0.0721621,0.000183105,0.076049089,5.32E-05
230,2.85E-08,0.25412887,0.25412887,0.000197649,0.065970898,4.84E-05
231,1.01E-07,1.6489631,1.6489631,0.00019002,0.073355198,5.25E-05
232,1.79E-08,48.93196,48.931957,0.000178337,0.063615799,5.05E-05
233,2.35E-09,2.2017462,2.2017465,0.000183821,0.064057827,4.82E-05
234,9.17E-07,0.07271004,0.072710246,0.00017786,0.103747606,5.29E-05
235,1.62E-08,1.6072248,1.6072247,0.000181913,0.068007708,4.77E-05
236,1.10E-08,0.33908725,0.33908728,0.000179768,0.06793499,4.91E-05
237,1.72E-07,1.6565014,1.6565017,0.000183821,0.067815542,4.77E-05
238,3.60E-09,1.4378428,1.4378422,0.000198126,0.073808908,4.86E-05
239,3.65E-08,0.051463373,0.051463313,0.00018239,0.065412283,5.13E-05
240,5.73E-08,25.295477,25.295477,0.000187397,0.113841057,4.94E-05
241,3.95E-08,8.460339,8.460339,0.000183344,0.069675207,4.86E-05
242,5.16E-08,3.1138966,3.1138966,0.000186682,0.075786829,4.89E-05
243,1.85E-08,0.34192577,0.34192577,0.000178337,0.068824053,5.10E-05
244,4.90E-08,0.75187874,0.75187874,0.000181437,0.044262409,5.36E-05
245,1.67E-08,3.2618933,3.2618933,0.000185966,0.03313899,4.98E-05
246,5.92E-08,0.45986378,0.45986387,0.000180721,0.032795668,4.72E-05
247,1.51E-08,0.10124527,0.10124532,0.00018096,0.03309989,4.94E-05
248,8.85E-08,2.5539742,2.5539749,0.000199795,0.057970524,4.91E-05
249,4.72E-08,0.9638699,0.96387017,0.000181913,0.080719233,5.13E-05
250,2.55E-08,1.5814227,1.5814227,0.000184059,0.081852674,4.77E-05
251,2.44E-08,0.8937501,0.89374995,0.000183344,0.042623997,5.01E-05
252,3.27E-08,2.206611,2.2066112,0.000190973,0.033689499,4.91E-05
253,3.11E-08,9.776868,9.776868,0.000180483,0.033891439,4.89E-05
254,4.13E-08,0.87991726,0.87991714,0.000191212,0.034347534,4.89E-05
255,4.97E-07,0.8263785,0.82637846,0.000202417,0.082602739,4.96E-05
256,8.56E-08,1.145889,1.145889,0.000192881,0.09912014,5.15E-05
257,1.04E-07,5.853107,5.853107,0.000204563,0.083132744,5.05E-05
258,8.36E-08,0.5541207,0.5541208,0.00018549,0.073419094,6.87E-05
259,6.29E-09,1.2998605,1.2998605,0.000196934,0.059551477,5.20E-05
260,1.18E-07,1.3052654,1.3052654,0.000181437,0.072818995,6.79E-05
261,3.72E-08,1.6691835,1.6691834,0.000180483,0.071418285,5.01E-05
262,3.64E-08,0.31904262,0.3190427,0.000193596,0.101089239,4.98E-05
263,3.65E-08,1.5077614,1.5077612,0.000191927,0.048720837,4.96E-05
264,8.29E-09,0.352748,0.35274822,0.000183821,0.035202503,5.22E-05
265,2.23E-07,1.0036606,1.0036604,0.000186682,0.035831451,4.86E-05
266,1.16E-06,0.47911125,0.47911125,0.00018239,0.03669858,5.05E-05
267,1.37E-07,0.41471708,0.41471702,0.000180721,0.035638094,4.82E-05
268,1.64E-08,1.7891543,1.7891543,0.000182629,0.036366224,5.01E-05
269,2.46E-07,0.8984093,0.8984092,0.000183582,0.037668943,5.10E-05
270,4.67E-08,0.38579842,0.38579845,0.00018692,0.093141079,5.08E-05
271,6.60E-07,0.238521,0.23852104,0.000198364,0.091266155,5.46E-05
272,5.02E-08,0.8448944,0.8448943,0.000196695,0.087014198,5.10E-05
273,2.59E-08,0.8597661,0.85976607,0.000196695,0.106996059,5.36E-05
274,3.52E-08,0.8382075,0.8382075,0.000182867,0.07911706,4.98E-05
275,1.89E-08,2.945441,2.9454412,0.000184536,0.04108119,6.58E-05
276,6.71E-08,0.21603076,0.2160308,0.000182629,0.037031174,4.94E-05
277,6.83E-05,0.5806849,0.5806849,0.000197172,0.038171053,4.86E-05
278,1.61E-08,3.0946836,3.0946836,0.000196695,0.038608074,4.98E-05
279,3.78E-09,0.6264712,0.6264712,0.000189304,0.03921175,5.20E-05
280,4.41E-09,0.4996411,0.49964082,0.000177383,0.044420958,5.08E-05
281,4.44E-09,2.8977036,2.8977041,0.00018096,0.037550688,4.79E-05
282,1.12E-07,0.09713406,0.097133845,0.000180244,0.036640644,4.77E-05
283,2.35E-08,1.2369988,1.2369987,0.000174046,0.037103415,4.77E-05
284,6.98E-08,0.33880907,0.33880904,0.000175714,0.037959099,4.98E-05
285,1.16E-07,0.47943604,0.47943613,0.00017643,0.037486792,4.77E-05
286,1.60E-08,4.707125,4.7071257,0.000175714,0.05748558,4.65E-05
287,1.93E-08,0.008384281,0.008384268,0.000181675,0.081992865,4.84E-05
288,6.19E-10,5.2025013,5.202502,0.000176668,0.038218021,4.91E-05
289,6.94E-08,0.9843466,0.9843466,0.000183582,0.039207458,4.74E-05
290,1.52E-07,0.36022055,0.36022058,0.000191212,0.038230181,4.84E-05
291,3.01E-09,0.07115507,0.07115506,0.000180721,0.038408279,7.18E-05
292,1.97E-07,0.09261057,0.092610545,0.000181437,0.038741589,5.13E-05
293,9.92E-09,0.48986688,0.48986688,0.000182629,0.083762169,4.84E-05
294,7.97E-08,0.9992082,0.99920833,0.000179529,0.03937149,5.53E-05
295,1.19E-07,2.9128978,2.9128976,0.000176907,0.0390625,4.72E-05
296,2.52E-08,0.52273154,0.52273166,0.000182629,0.039175034,4.82E-05
297,8.43E-09,0.07695707,0.07695696,0.000175953,0.038958073,4.74E-05
298,5.36E-09,3.4379904,3.4379904,0.000191927,0.040281534,4.84E-05
299,2.37E-08,0.5146747,0.5146748,0.000182629,0.039407015,4.98E-05
300,5.09E-08,0.73893225,0.73893225,0.000184298,0.040596247,4.96E-05
301,8.18E-08,20.180365,20.180365,0.000189781,0.063943386,4.77E-05
302,1.43E-07,7.3479376,7.3479385,0.000194073,0.098763466,5.03E-05
303,5.17E-08,1.3111968,1.3111968,0.000187159,0.086934566,4.96E-05
304,4.41E-08,0.8219769,0.8219769,0.000186443,0.085305929,4.96E-05
305,8.97E-09,0.46644434,0.46644443,0.000181437,0.075131655,4.91E-05
306,2.02E-07,0.33511025,0.33511028,0.000181675,0.090639591,4.96E-05
307,3.92E-09,20.519886,20.519886,0.000178337,0.050832272,5.34E-05
308,1.44E-08,7.3189945,7.3189936,0.000192404,0.080729723,4.96E-05
309,6.52E-08,0.5821487,0.5821488,0.000187635,0.154931068,4.96E-05
310,4.63E-08,0.6413874,0.6413874,0.000186682,0.115118265,5.05E-05
